,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date
7160,Warriors Orochi,PSP,Action,KOEI,Omega Force / Koei Canada,6.4,0.2,0.02,0.18,0.0,0.0,2008-03-25
7178,Pac-Man & Galaga Dimensions,3DS,Action,Namco Bandai,Namco Bandai Games,5.7,0.19,0.1,0.04,0.04,0.01,2011-07-26
7194,Tekken Tag Tournament 2,WiiU,Fighting,Namco Bandai Games,Bandai Namco Games,8.1,0.19,0.09,0.01,0.07,0.01,2012-11-18
7198,Project X Zone 2,3DS,Role-Playing,Namco Bandai Games,Monolith Soft,6.6,0.19,0.06,0.09,0.04,0.01,2016-02-16
7229,Valkyria Chronicles 4,NS,Strategy,Sega,Sega,8.6,0.19,0.12,0.02,0.04,0.02,2018-09-25
7239,Shadows of the Damned,X360,Action,Electronic Arts,Grasshopper Manufacture,7.6,0.19,0.1,0.01,0.06,0.02,2011-06-21
7243,Earth Defense Force: Insect Armageddon,X360,Shooter,D3 Publisher,Vicious Cycle,6.7,0.19,0.1,0.03,0.04,0.01,2011-07-05
7255,Armored Core: For Answer,PS3,Simulation,Ubisoft,From Software,6.1,0.19,0.06,0.1,0.02,0.01,2008-09-16
7266,Samurai Warriors: State of War,PSP,Action,KOEI,Omega Force,6.5,0.19,0.07,0.11,0.0,0.01,2006-03-07
7271,50 Cent: Blood on the Sand,PS3,Shooter,THQ,Swordfish Studios,7.2,0.19,0.1,0.01,0.06,0.03,2009-02-24
7280,Dynasty Warriors Gundam,X360,Action,Namco Bandai,Omega Force,6.0,0.19,0.15,0.02,0.01,0.01,2007-08-28
7329,Dynasty Warriors: Gundam 2,X360,Action,Namco Bandai,Omega Force,5.6,0.19,0.07,0.08,0.03,0.01,2009-04-21
7371,Captain Toad: Treasure Tracker,3DS,Puzzle,Nintendo,Nintendo EPD,8.5,0.19,0.06,0.08,0.04,0.01,2018-07-13
7383,Street Fighter 30th Anniversary Collection,NS,Fighting,Capcom,Capcom,8.5,0.19,0.12,0.01,0.04,0.02,2018-05-29
7408,Majin and the Forsaken Kingdom,X360,Adventure,Namco Bandai,Game Republic,7.0,0.19,0.14,0.0,0.03,0.01,2010-11-30
7417,Space Invaders Extreme 2,DS,Shooter,Taito,Taito Corporation,8.1,0.19,0.17,0.0,0.01,0.01,2009-10-20
7439,Disgaea DS,DS,Role-Playing,NIS America,Nippon Ichi Software,8.0,0.18,0.11,0.05,0.01,0.01,2008-09-23
7440,Ar tonelico 2: Melody of Metafalica,PS2,Role-Playing,NIS America,Gust,7.2,0.18,0.04,0.11,0.03,0.01,2009-01-20
7445,Trinity Universe,PS3,Role-Playing,NIS America,Nippon Ichi Software / Gust,6.2,0.18,0.07,0.03,0.06,0.02,2010-06-29
7478,Call of Juarez,X360,Shooter,Ubisoft,Techland,6.9,0.18,0.14,0.0,0.02,0.01,2007-06-07
7491,Metal Gear Ac!d 2,PSP,Strategy,Konami,Kojima Productions,8.3,0.18,0.11,0.05,0.01,0.01,2006-03-21
7513,Velvet Assassin,X360,Shooter,SouthPeak Interactive,Replay Studios,5.3,0.18,0.14,0.01,0.02,0.01,2009-04-30
7569,Naruto Shippuden: Dragon Blade Chronicles,Wii,Action,Atlus,8ing/Raizing,4.3,0.18,0.11,0.05,0.02,0.01,2010-11-16
7574,Dynasty Warriors: Gundam 3,X360,Action,Tecmo Koei,Omega Force,6.5,0.18,0.11,0.02,0.03,0.01,2011-06-28
7597,The Munchables,Wii,Action,Namco Bandai,Namco Bandai Games,8.0,0.18,0.17,0.0,0.0,0.01,2009-05-26
